date,product_category,product_name,sales_amount,quantity_sold,customer_segment,region,sales_rep
2024-01-15,Electronics,Smartphone Pro,899.99,1,Premium,North,Alice Johnson
2024-01-16,Electronics,Laptop Ultra,1299.99,1,Business,South,Bob Smith
2024-01-17,Clothing,Designer Jacket,249.99,2,Premium,East,Carol Davis
2024-01-18,Electronics,Tablet Mini,399.99,1,Consumer,West,David Wilson
2024-01-19,Home & Garden,Smart Thermostat,199.99,3,Consumer,North,Alice Johnson
2024-01-20,Clothing,Running Shoes,89.99,4,Consumer,South,Bob Smith
2024-01-21,Electronics,Wireless Headphones,149.99,2,Premium,East,Carol Davis
2024-01-22,Home & Garden,Robot Vacuum,299.99,1,Business,West,David Wilson
2024-01-23,Clothing,Winter Coat,179.99,1,Consumer,North,Alice Johnson
2024-01-24,Electronics,Gaming Console,499.99,1,Premium,South,Bob Smith
2024-01-25,Home & Garden,Air Purifier,249.99,2,Business,East,Carol Davis
2024-01-26,Electronics,Smart Watch,299.99,3,Consumer,West,David Wilson
2024-01-27,Clothing,Casual Shirt,39.99,5,Consumer,North,Alice Johnson
2024-01-28,Electronics,Bluetooth Speaker,79.99,6,Consumer,South,Bob Smith
2024-01-29,Home & Garden,Garden Tools Set,149.99,1,Business,East,Carol Davis
2024-01-30,Electronics,Phone Case,19.99,10,Consumer,West,David Wilson
2024-02-01,Clothing,Formal Dress,199.99,1,Premium,North,Alice Johnson
2024-02-02,Electronics,Keyboard Mechanical,129.99,2,Business,South,Bob Smith
2024-02-03,Home & Garden,LED Light Bulbs,29.99,8,Consumer,East,Carol Davis
2024-02-04,Electronics,External Hard Drive,89.99,3,Business,West,David Wilson
2024-02-05,Clothing,Sports Bra,49.99,4,Consumer,North,Alice Johnson
2024-02-06,Electronics,Webcam HD,69.99,2,Business,South,Bob Smith
2024-02-07,Home & Garden,Plant Fertilizer,24.99,6,Consumer,East,Carol Davis
2024-02-08,Electronics,USB Cable,9.99,15,Consumer,West,David Wilson
2024-02-09,Clothing,Jeans Premium,119.99,2,Premium,North,Alice Johnson
2024-02-10,Electronics,Monitor 4K,399.99,1,Business,South,Bob Smith
